fk_well,date,gwl
673,1983-01-03,160.90
673,1983-01-10,161.2
673,1983-01-17,161.31
673,1983-01-24,161.05
673,1983-01-31,160.97
673,1983-02-07,161.36
673,1983-02-14,160.98
673,1983-02-21,160.6
673,1983-02-28,160.51
673,1983-03-07,160.62
673,1983-03-14,160.49
673,1983-03-21,160.77
673,1983-03-28,161.03
673,1983-04-04,161.1
673,1983-04-11,162.21
673,1983-04-18,161.7
673,1983-04-25,161.12
673,1983-05-02,160.73
673,1983-05-09,160.61
673,1983-05-16,161.07
673,1983-05-23,160.96
673,1983-05-30,161.86
673,1983-06-06,161.09
673,1983-06-13,160.7
673,1983-06-20,160.46
673,1983-06-27,160.71
673,1983-07-04,160.48
673,1983-07-11,160.3
673,1983-07-18,160.12
673,1983-07-25,160.01
673,1983-08-01,159.92
673,1983-08-08,159.87
673,1983-08-15,159.8
673,1983-08-22,159.74
673,1983-08-29,159.71
673,1983-09-05,159.68
673,1983-09-12,159.69
673,1983-09-19,159.77
673,1983-09-26,159.73
673,1983-10-03,159.67
673,1983-10-10,159.68
673,1983-10-17,159.74
673,1983-10-24,159.75
673,1983-10-31,159.68
673,1983-11-07,159.63
673,1983-11-14,159.59
673,1983-11-21,159.56
673,1983-11-28,159.64
673,1983-12-05,160.17
673,1983-12-12,160
673,1983-12-19,159.9
673,1983-12-26,160.25
673,1984-01-02,160.28
673,1984-01-09,160.23
673,1984-01-16,160.8
673,1984-01-23,160.93
673,1984-01-30,160.85
673,1984-02-06,161.16
673,1984-02-13,161.35
673,1984-02-20,160.8
673,1984-02-27,160.48
673,1984-03-05,160.36
673,1984-03-12,160.29
673,1984-03-19,160.18
673,1984-03-26,160.18
673,1984-04-02,160.35
673,1984-04-09,160.51
673,1984-04-16,160.38
673,1984-04-23,160.28
673,1984-04-30,160.17
673,1984-05-07,160.06
673,1984-05-14,160
673,1984-05-21,159.97
673,1984-05-28,160.19
673,1984-06-04,160.85
673,1984-06-11,160.69
673,1984-06-18,160.39
673,1984-06-25,160.19
673,1984-07-02,160.08
673,1984-07-09,160.05
673,1984-07-16,160.01
673,1984-07-23,160
673,1984-07-30,159.9
673,1984-08-06,159.93
673,1984-08-13,159.96
673,1984-08-20,159.9
673,1984-08-27,159.8
673,1984-09-03,159.71
673,1984-09-10,159.8
673,1984-09-17,160.16
673,1984-09-24,160.22
673,1984-10-01,160.59
673,1984-10-08,160.66
673,1984-10-15,160.48
673,1984-10-22,160.25
673,1984-10-29,160.14
673,1984-11-05,160.03
673,1984-11-12,159.93
673,1984-11-19,159.86
673,1984-11-26,160.15
673,1984-12-03,160.29
673,1984-12-10,160.12
673,1984-12-17,160.04
673,1984-12-24,160.35
673,1984-12-31,160.28
673,1985-01-07,160.15
673,1985-01-14,160.03
673,1985-01-21,159.95
673,1985-01-28,160.77
673,1985-02-04,161.39
673,1985-02-11,161.1
673,1985-02-18,160.72
673,1985-02-25,160.42
673,1985-03-04,160.25
673,1985-03-11,160.12
673,1985-03-18,160.02
673,1985-03-25,159.98
673,1985-04-01,160.01
673,1985-04-08,159.99
673,1985-04-15,160.25
673,1985-04-22,160.55
673,1985-04-29,160.32
673,1985-05-06,160.6
673,1985-05-13,161.02
673,1985-05-20,160.63
673,1985-05-27,160.51
673,1985-06-03,160.4
673,1985-06-10,160.23
673,1985-06-17,160.4
673,1985-06-24,160.32
673,1985-07-01,160.3
673,1985-07-08,160.34
673,1985-07-15,160.17
673,1985-07-22,160.04
673,1985-07-29,159.92
673,1985-08-05,159.86
673,1985-08-12,159.82
673,1985-08-19,159.75
673,1985-08-26,159.69
673,1985-09-02,159.66
673,1985-09-09,159.83
673,1985-09-16,159.77
673,1985-09-23,159.7
673,1985-09-30,159.62
673,1985-10-07,159.6
673,1985-10-14,159.58
673,1985-10-21,159.55
673,1985-10-28,159.52
673,1985-11-04,159.5
673,1985-11-11,159.67
673,1985-11-18,159.81
673,1985-11-25,159.73
673,1985-12-02,159.69
673,1985-12-09,159.78
673,1985-12-16,159.84
673,1985-12-23,159.81
673,1985-12-30,159.97
673,1986-01-06,160.13
673,1986-01-13,160.34
673,1986-01-20,161.41
673,1986-01-27,161.4
673,1986-02-03,160.85
673,1986-02-10,160.51
673,1986-02-17,160.3
673,1986-02-24,160.14
673,1986-03-03,160.02
673,1986-03-10,160.32
673,1986-03-17,160.31
673,1986-03-24,160.46
673,1986-03-31,161.04
673,1986-04-07,161.38
673,1986-04-14,161
673,1986-04-21,160.85
673,1986-04-28,161.46
673,1986-05-05,161.19
673,1986-05-12,160.88
673,1986-05-19,160.68
673,1986-05-26,160.5
673,1986-06-02,160.51
673,1986-06-09,161.22
673,1986-06-16,160.83
673,1986-06-23,160.62
673,1986-06-30,160.37
673,1986-07-07,160.51
673,1986-07-14,160.67
673,1986-07-21,160.32
673,1986-07-28,160.17
673,1986-08-04,160.02
673,1986-08-11,159.91
673,1986-08-18,159.94
673,1986-08-25,160.13
673,1986-09-01,160.15
673,1986-09-08,160.01
673,1986-09-15,160.15
